brivla	1post	2pre	2post	3pre	4pre	5pre	noun1	noun2	noun3	noun4	noun5	adv1	adv2	adv3	adv4	adv5	adj1	adj2	adj3	adj4	adj5
karni	is a newspaper, magazine, journal	with content					journal, newspaper, magazine	contents of a magazine													
katna	cuts			into pieces																	
kavbu	captures			with trap					trap used for capture												
kecti	feels sorry 	for		about																	
kelci	plays 	game					player	game (played)													
kelvo	is		degrees Kelvin																		
kenka	is a pie or cake	with ingredient					pie/cake	cake ingredient													
kenra	is a cancer disease 	in					cancer														
kensa	is outer space 	near					outer space														
kerfa	is hair 	of					hair														
kerlo	is an ear 	of					ear														
kernelo	is a kernel, nucleus, 'nut' 	of					kernel, nucleus, 'nut'														
ketco	is South American 	in					South American														
kevna	is a cavity or hole 	in					cavity, hole														
ki'ogra	weighs		kilograms																		
ki'otre	is		kilometers long																		
kibro	pertains to the internet 	in					internet thing														
kicne	is a cushion						cushion														
kijno	is oxygen						oxygen														
kilto	is a thousand 	of		in																	
kinda	is kind of like			in			kind of														
kinli	is sharp 	at location					sharp														
kisto	is Pakistani 	in					Pakistani														
klaji	is a street or alley 	at		allowing access to			street, avenue, alley														
klaku	weeps or cries 	tears						tear wept													
klama	goes 	to		from	by route	using means	passenger, goer, rider	destination of a ride	origin of a ride	route, track	vehicle										
klani	is a quantity	measured as		on scale																	
klesi	is a type, kind, class 	of whole		defined by			subset, type, kind, class														
klina	is transparent, clear, penetrable 	to signal					transparent														
kliru	is some halogen						halogen														
kliti	is clay						clay														
klupe	is a screw, bolt 	for purpose		with threads	with frame		screw	a purpose of a screw	a screw thread	a frame of a screw											
kluza	is loose	bloused on		in			loose														
kobli	is a cabbage or lettuce 	of species					cabbage														
kojna	is a corner 	in					corner														
kokso	is a coconut 	of variety/cultivar					coconut														
kolme	is coal						coal														
kombitu	is a comb 	with teeth, needles					comb		tooth of a comb, needle of a comb												
konju	is a cone 	with base		and vertex			cone	base of a cone	vertex of a cone												
korbi	is an edge or border 	between					edge	something with an edge													
korcu	is bent or crooked						bent														
korka	is some cork 	from tree					cork														
korpora	is a (text) corpus	consisting of 																			
korvo	is a crow/raven 	of species					crow														
kosta	is a jacket or sweater						jacket														
krali	is a legal/moral right 	of		in legal system			legal right, moral right														
kramu	is		area units 	in standard																	
krasi	is an origin or source 	of					origin	something with an origin													
krati	represents			in function			representative														
krefu	is a recurrence 	of		happening for the _th time:			recurrence		number of recurrences												
krici	believes	that	is true	about			believer														
krili	is quantity of crystal 	of material					crystal														
krinu	is a justification or reason	for					justification	event justified													
krixa	yells or cries out																				
krokodilo	is a crocodile	of breed					crocodile														
kruca	intersects			at location					point of an intersection												
kruji	is cream						cream														
kruvi	is a curve or bend 	in		at location	defined by points		curve	something with a curve	a location of a curve	a property defining a curve											
kuadrili	is a thigh, hip 	of					thigh/hip														
kubli	is a cube						cube														
kucli	is curious 	about					curious	subject of curiosity													
kufra	is comfortable 	with					comfortable														
kukte	is tasty or delicious 	to					tasty														
kulnu	is culture 	of people					culture														
kumfa	is a room 	in					room														
kumte	is a camel or llama 	of species					camel, llama														
kunra	is an ore 	containing material		mined from			mineral														
kunti	is empty of material						empty														
kurfa	is a rectangle 	defined by vertices					rectangle														
kurji	takes care 	of					caretaker														
kurki	is bitter or acrid 	to					bitter, acrid														
kuspe	extends or reaches 	over range					having scope	scope													
kusru	is cruel 	to victim		in actions			cruel action	victim of cruelty													
labno	is a wolf 	of species					wolf														
labyxu'e	is pink, of rose color						pink														
lacni	is eyewear, glasses 	used by		serving purpose			glasses														
lacpu	pulls or drags			by handle				something pulled, something dragged													
ladru	is milk 	from					milk														
lafti	lifts							something lifted													
lakne	is probable, likely						probable														
lakse	is some wax						wax														
laldo	is old/aged 	in that it has					old, aged														
lalxu	is a lake or pool 	at site					lake	place with a lake													
lamji	is adjacent	to		in	in direction		adjacent														
lanbi	is protein						protein														
lanci	is a flag or banner	symbolizing					flag, banner														
lanka	is a basket 	containing					basket	contents of a basket													
lanli	analyzes			by method			analyst	something analysed	method of analysis												
lanme	is a sheep 	of species					sheep														
lante	is a can 	for					can, pre-sealed container	something canned													
lanxe	is in balance 	under forces					balanced														
lanzu	is a family 	including		by bond			family	family member													
larcu	is art	, creative application of skill					art	craft													
lasna	fastens or binds			to	with		fastener	fastened													
lastu	is brass						brass														
latmo	is Latin 	in					something Latin														
latna	is a lotus 	of species					lotus														
lazni	is lazy 	concerning action					lazy	action lazily avoided													
lebna	takes or seizes			from				something taken													
lektoni	is an electron						electron														
lelxe	is a lily 	of species/strain					x1 is a lily of species/strain x2														
lenjo	is a lens 	focusing rays		to the focus			lens	rays focused by a lens	focus of a lens												
lenku	is cold						cold														
lerci	is late 	by standard					late event														
lerfu	is a letter, symbol 	in word or alphabet		representing			letter, alphabetic symbol														
letri	is electric 	in					electric														
lianpi	is a cheek 	of					cheek														
lianzi	is a length of chain 	with links or rings					chain	link of a chain, ring of a chain													
libjo	is Libyan 	in					something Libyan														
lidne	precedes			in																	
lifri	experiences						experiencer, patient (experiencer)	experienced event													
lijda	is a religion 	of believers		sharing beliefs			religion	religious believer	religious belief												
limna	swims 	in					swimmer														
lindi	is a lightning 	striking at		from			lightning														
linji	is a line segment 	defined by points					line	points defining a line													
linto	is lightweight						lightweight														
lisri	is a story 	about					story, tale, yarn, narrative	plot of a story													
liste	is a list, log 	of	in order	in medium			list, log	logged													
litce	is		liters in volume																		
litki	is fluid						fluid														
litru	travels 	via route					traveller	travelling route													
livga	is a liver 	of					liver														
livla	is a fuel 	for powering					fuel														
logji	is a logic 	for reasoning about					logic														
loglo	pertains to Loglan 	in					Loglandic														
lojbo	is Lojbanic 	in					Lojbanic														
loldi	is a floor or ground 	of					floor														
lorxu	is a fox 	of species					fox														
lubno	is Lebanese 	in					something Lebanese														
lujvo	is a lujvo, compound verb	with meaning		, arguments meaning	, with affixes built from components		lujvo (compound verb made of affixes)														
lumci	washes			of contaminant			washer														
lunbe	is naked or bare						naked, bare														
lunra	is a moon or major natural satellite 	of planet					moon	planet with a moon													
lunsa	condenses						condensing														
luska	is a mollusc 	of species					mollusc														
mabla	is shitty, awful 	in		according to			shitty, awful, execrable, deplorable, wretched, rotten, miserable, contemptible, crappy, inferior, of low-quality														
mabru	is mammal 	of species					mammal														
macnu	is manual	in function					manual	function done manually													
magneti	is magnetic 	in					magnet														
makcu	is mature 	in					mature														
makfa	is magic or supernatural 	to		performed by			magical event		wizard, magician												
maksi	is a magnet 	producing field					magnet	a magnetic field													
malsi	is a church or temple 	of religion, culture					church, temple														
mamta	is a mother 	of					mother	child of a mother													
manci	feels awe or wonder 	about					feeler of awe	something awe-inspiring													
manfo	is uniform, homogeneous 	in					uniform, homogeneous														
mango	is a mango 	of variety					mango														
manku	is dark						dark														
manri	is a standard 	for observing		with rules			standard														
mansa	satisfies			in			satisfying	satisfied													
manti	is an ant 	of species					ant														
mapku	is a hat, helmet						hat, helmet														
mapni	is some cotton						cotton														
mapti	is compatible 	with		in			compatible														
marbi	is a shelter 	protecting		against threat			shelter, haven, refuge, retreat, harbor														
marce	is a vehicle 	for carrying					vehicle	passenger													
marde	are the ethics 	of performer					ethics, morals, moral standards, ethical standards														
margu	is mercury						mercury														
marji	is material 	made of		in shape			material, stuff, matter	composition of matter	shape of matter												
marna	is hemp 	of species					hemp														
marvele	is marvellous, astonishing 	to					marvellous														
marxa	crushes or smashes			into																	
masno	is slow 	at doing					slow thing	slow process													
masti	is		months long																		
matci	is a mat or pad						mat, pad														
matli	is some flax, linen						linen														
matne	is butter						butter														
matra	is an engine 	powering					engine														
mavji	is oats 	of species					oats														
maxri	is wheat 	of species					wheat														
mebri	is a brow or forehead 	of					brow														
megdo	is a million 	of		in																	
mekso	is a mathematical expression 	under rules					math expression														
melbi	is beautiful 	to observer		in aspect			beautiful														
meljo	is Malaysian 	in					something Malaysian														
menli	is a mind 	of body					mind														
mensi	is a sister 	of		by bond			sister	sibling of a sister													
mentu	is		minutes long																		
merko	is U.S. American 	in					something American														
merli	measures			to be	units on scale	with accuracy	measurer	measured													
mexno	is Mexican 	in					something Mexican														
midju	is in the middle 	of																			
mifra	is ciphertext	of		made using cipher			encrypted text	not encrypted text	cipher for encryption												
mikce	cures or treats			for disease			doctor	patient (being cured)	disease cured												
mikri	is a millionth 	of		in			millionth														
milti	is a thousandth 	of		in			thousandth														
milxe	is mild 	in					mild														
minde	commands or orders			to do			commander														
minli	is		non-metric long distance units 	in standard	with subunits		something measured in non-metric long distance	an amount of non-metric long distance	a subunit of a non-metric long distance												
minra	reflects or echoes			to observer	as			reflected, echoed													
mintu	is identical 	to					identical														
mipri	hides			from				concealed, hidden													
mirli	is a deer 	of species					deer														
misno	is famous 	among					famous														
misro	is Egyptian 	in					something Egyptian														
mitre	is		meters in																		
mitysisku	searches 	for		among			searcher														
mixre	is a mixture 	including					mixture	ingredient of a mixture													
mlana	is to the side 	of					lateral														
mlatu	is a cat 	of species					cat														
mleca	is less 	than		in	by amount		less	more													
mledi	is a fungus 	of species					fungus														
mligla	is warm						warm														
mluni	is a satellite 	orbiting					satellite (in outer space)	celestial body with a satellite													
mokca	is a point in time or at place						instant														
moklu	is a mouth 	of					mouth														
molki	is an industrial plant or mill 	performing					industrial plant, mill														
molro	is		moles																		
monsuta	is a monster						monster														
monte	goes by vehicle																				
morji	remembers			about subject				remembered													
morko	is Moroccan 	in					something Moroccan														
morna	is a pattern 	of forms		arranged according to rule			pattern														
morsi	is dead						dead														
mosra	is friction 	due to rubbing of		against			friction														
mraji	is some rye 	of species					rye														
mrena'u	is a real number						real number														
mrilu	mails or posts			to	from	in mail system	mailer	mailed			mail system										
mruli	is a hammer 	for		with head	propelled by		hammer		head of a hammer												
mucti	is immaterial or not physical						immaterial, not physical														
mudri	is wood 	from tree					wood														
mukti	is a motive 	for		done by agent			motive		who is motivated												
mulno	is complete, whole 	in property					complete														
munje	is a universe 	of					universe	domain of a universe													
mupli	is an example 	of		among			example														
murta	is a curtain 	for covering					curtain	covered by a curtain													
muslo	is Islamic or Moslem 	in					something Islamic														
mutce	is much 	in					much														
muvdu	moves 	to		from	over route																
muvgau	moves (causes to move)			to	from	over route			moved												
muzga	is a museum or zoo 	for preserving					museum														
nabmi	is a problem 	to					problem														
najnimre	is an orange 	of species																			
nakni	is a male 	of species		with masculine traits			male														
nakpinji	is a penis 	of					penis														
nalci	is a wing 	of					wing	winged													
namcu	is a number or value						number														
nanba	is bread						bread														
nanca	is		years long																		
nandu	is difficult or challenging 	for					difficult, challenging														
nangua	is a pumpkin 	of species					melon														
nanla	is a boy						boy														
nanmu	is a man						man														
nanvi	is a billionth or 10^-9	of		in																	
narge	is a nut 	from plant		with shell	with kernel		nut		nut shell	nut kernel											
narju	is orange						orange														
natfe	contradicts or denies						contradiction														
natmi	is nation or ethnic group 	of people					nation														
navni	is a quantity of inert gas						inert gas														
naxle	is a channel or canal 	to		from	with route		channel	a channel destination	a channel origin	a channel route											
nazbi	is a nose 	of					nose														
nejni	is energy 	of		of object			energy	type of energy	form of energy												
nelci	likes						fancier	liked													
nenri	is inside						inner	outer													
nibli	implies																				
nicte	is a night 	of day					night-time														
nikle	is nickel						nickel														
nilce	is furniture	in		serving the function			furniture														
nimre	is a citrus fruit 	of species					citrus														
ninmu	is a woman						woman														
nirna	is a nerve or neuron 	of					nerve														
nitcu	needs			for purpose																	
nivji	knits			from yarn					yarn for knitting												
nixli	is a girl						girl														
nobli	is noble 	in					noble														
norgo	reflects Norwegian culture/nationality 	in					Norwegian														
notci	is a notice 	about		made by			message	subject of a message													
nudle	is a noodle						noodles														
nukni	has magenta color						magenta (color)														
nupre	promises or threatens			to				promised													
nurma	is a countryside, rural area 	of					countryside														
nusna	induces			about	from specific facts			inducted proposition													
nutli	is neutral	in					neutral														
nuzba	is news 	about		from	to observer		news														
nuzlo	is New Zealandish	in					New Zealandish														
omle	is an omelette 	containing					omelette														
orka	is an orca	of breed					orca														
pacna	hopes 	for		with likelihood																	
pagbu	is a part or piece 	of					part														
pagre	passes through 	barrier		to destination	from origin																
pajni	judges 	matter					judge	matter judged													
palci	is immoral, evil 	by standard					wicked, evil, immoral														
palku	are pants or trousers						trousers, pants														
palma	is a palm tree 	of species					palm tree														
palne	is a tray or platter 	with contents					tray, platter														
palpi	touch-feels/palpates 	surface																			
palta	is a plate or saucer						plate, saucer														
pambe	is a pump 	inserting fluid		into	from		pump														
panci	is a smell or fragrance 	emitted by		detected by observer			smell, fragrance														
pandi	punctuates			with symbol or word	with effect		punctuater	something punctuated	a punctuation	an effect of punctuation											
panje	is sponge						sponge														
panka	is a park						park														
panlo	is a slice 	of					slice	sliced													
panpi	is at peace 	with																			
panra	is parallel, congruent, similar 	to		differing only in			congruent		the only difference												
pante	protests or complains 	about		to			protester														
panzi	is a child 	of					offspring	biological parent													
papri	is a page 	of book or document					page	paged document, paged book													
parbi	is a ratio 	of		with respect to			fraction	numerator	denominator												
parji	is a parasite 	of					parasite														
pastu	is a robe, gown						robe, gown														
patfu	is a father 	of					father	child of a father													
patlu	is a potato 	of species					potato														
patxu	is a pot or sink 	with contents					pot	contents of a pot													
pelji	is paper						paper														
pelmeni	is a dumpling/ravioli/pelmeni/dim sum	containing					dumplings, ravioli, pelmeni, dim sum														
pelxu	is yellow						yellow														
pemci	is a poem 	about					poem	subject of a poem													
penbi	is a pen 	using ink					pen	ink of a pen													
pencu	touches			with				touched													
pendo	is a friend	to					friend														
penmi	encounters or meets							encountered													
pensi	ponders, is pensive 	about					thinker														
perli	is a pear 	of species					pear														
curmi	allows		to happen																		
permite	allows, permits			to do			who allows	what is allowed													
pesxu	is jam, paste, dough						paste														
petso	is 10 to the fifteenth 	of		in																	
pezli	is a leaf 	of plant					leaf	plant with leaves													
picti	is 10 to the negative twelfth	of		in																	
pijne	is a pin 	for piercing					pin	pierced by a pin													
pikci	pleads or begs			for																	
piksku	makes comment			to			commentator	comment													
pikta	is a ticket 	entitling		to			ticket	ticket holder													
pilda	is pale						pale														
pilji	is the product 	of		multiplied by			product of multiplication														
pilka	is a crust, peel 	of					crust, peel														
pilno	uses			for purpose			user	used													
pimlu	is a feather 	of					feather	feathered													
pinca	is urine	of					urine														
pincivi	excretes urine/urinates/pees/pisses																				
pindi	is poor 	in					poor														
pinfu	is a prisoner 	of		restrained by action			prisoner		means of imprisonment												
pinka	is a comment 	about		made by	to		comment	subject of a comment													
pinsi	is a pencil or crayon 	with marking material					pencil, crayon														
pinta	is level, horizontal 	in frame of reference					horizontal														
pinxe	drinks			out of			drinker	something drunk													
pipno	is a piano or other keyboard musical instrument						piano														
pixra	is a picture 	of		made by			picture	pictured													
plana	is fat or obese 	in					fat, obese														
planeta	is a planet						planet														
platu	plans, designs 	plot		for purpose			planner	plan, planned	purpose of a plan												
pleji	pays			to	for		payer	payment	payee	something paid for											
plibu	is a pubic area 	of					pubic area, external genitalia														
plini	is a planet 	around					planet	something a planet orbits													
plipe	jumps 	to		from	through route																
plise	is an apple 	of species					apple														
plita	is a geometrical plane 	defined by points					plane (shape)														
plixa	ploughs			using			plowman, ploughman	ploughed, plow	plough, plow												
plixau	is useful 	for user		in			useful														
pluja	is complex 	in					complex														
pluka	pleases						pleasant event	pleased													
pluta	is a route 	to		from			route														
polje	folds			at location				folded	fold, wrinkle, creae												
polno	is Polynesian 	in					something Polynesian														
ponjo	is Japanese 	in					something Japanese														
ponse	owns			under law			owner, proprietor	possessed, property (possessed)													
porpi	breaks or shatters into pieces							piece of something broken													
porsi	is a sequence						sequence														
porto	is Portuguese 	in					something Portuguese														
prali	is a profit or benefit 	to		resulting from			profit, benefit														
prami	loves						lover	loved													
prane	is perfect or ideal 	in					perfect														
preja	spreads 	over		from initial state				area of expansion													
prenu	is a person						person														
preti	is a question 	about		asked by	to		question	a subject of a question	a questioner	an audience of a questioner											
prije	is wise 	about matter					wise														
prina	is a print 	on		made by			print	surface printed on	printer												
pritu	is to the right 	of		in frame of reference			right (direction)														
prosa	is prose 	about					prose, prosaic text														
protoni	is a proton						proton														
pruce	is a process 	with input		with output	via stages		process	process input	process output	stage of a process											
pruni	is elastic						elastic, spring (elastic)														
pruxi	is ghostly or spiritual						ghostly, spiritual														
cripu	is a bridge 	across		between points			bridge														
pulce	is dust						dust														
pulji	is a police officer 	enforcing					police officer														
pulni	is a pulley 	used for		rotating on			pulley		axle of a pulley												
punji	places or puts			at				placed													
punli	is a swelling, clump 	on					swelling, clump														
purci	is earlier	than					earlier event, past event	later event, future event													
purdi	is a garden or field 	of gardener		growing crops			garden	gardener	crops of a garden												
purmo	is some powder 	of					powder														
racli	is rational or sane						rational event, sane event														
ractu	is a rabbit 	of species					rabbit														
radno	is		radians																		
rafsi	is an affix 	for word					affix	word with affixes													
ragve	is across 	boundary		from																	
rakso	is Iraqi 	in					something Iraqi														
raktu	disturbs 	person		causing problems				disturbed													
ralci	is delicate, fragile 	in					fragile														
ralju	is principal or chief 	among		in			principal, chief														
ralte	keeps or retains						keeper	kept													
randa	surrenders or yields 	to		under conditions			surrenderer	something surrendered to	a condition of surrender												
rango	is a bodily organ 	of		performing function			bodily organ		function of a bodily organ												
ranji	persists or continues 	over place or time interval					persistant														
ranmi	is a myth 	about					myth														
ransu	is a quantity of bronze						bronze														
ranti	is soft 	to force					soft														
ranxi	is ironic, 	contrary to expectation		in aspect			ironic, contrary to expectation														
rapli	occurs repeatedly		times				repeating event														
rarna	is spontaneous or natural						spontaneous														
ratcu	is a rat 	of species					rat														
ratni	is an atom 	of element		of isotope number or weight			atom	atomic number	isotope number												
rebla	is a tail 	of					tail	tailed													
rectu	is meat 	from					meat														
remna	is a human	of species					human														
renro	throws or launches			to or at				thrown													
renvi	survives or endures						survivor														
respa	is a reptile 	of species					reptile														
ricfu	is rich 	in					rich														
rigni	is disgusting 	to					disgusting														
rijno	is a quantity of silver						silver														
rilti	is a rhythm, 	rhythmical pattern of					rhythm	having a rhythm													
rimni	rhymes 	with		in language	with correspondence		having a rhyme	rhyming with something													
rinci	drains or flushes 	from		through drain	by force		draining liquid		drain, strainer												
rindo	is Native American/Indian 	in					Native American														
rinju	is restrained 	by		against			restrained	restraining													
rinka	causes effect						cause	effect													
rinsa	welcomes or greets																				
rirci	is rare, not usual 	in		among			rare														
rirni	rears, is a parent	of					parent (rearer)														
rirxe	is a river 	of land mass		draining watershed			river		watershed of a river												
rismi	is some rice 	of species					rice														
risna	is a heart 	of					heart														
ritli	is a ceremony, rite 	for purpose		in community			ceremony, rite														
rivbi	avoids or escapes fate			through action				avoided event													
rokci	is a rock						rock														
romge	is a highly reflective surface 	of metal																			
romlo	is Romani/Romany/gypsy 	in					gypsy														
ronde	is a ring 	with inside diameter		with outside diameter			ring	inner diameter of a ring	outer diameter of a ring												
ropno	is European 	in					European														
rorci	procreates			with coparent			parent (procreator), procreator														
rotsu	is thick 	in dimension					thick														
rozgu	is a rose 	of species					rose (plant)														
ruble	is weak, frail 	in					weak, frail														
rufsu	is rough in texture						rough (in texture)														
runme	melts						melting														
runta	dissolves 	in		making solution			dissolving		solution (mixture)												
rupnu	costs		major money units 	in monetary system			measured in dollars, measured in roubles, measured in euro, measured in yuan	amount of dollars, amount of roubles, amount of euro, amount of yuan													
rusko	is Russian 	in					Russian														
rutni	is artificially made 	by people					artificial														
rutpapaia	is a papaya fruit	of variety					papaya														
sabji	provides			to			provider	provided													
sabnu	is a cabin 	of vehicle					cabin of a vehicle	vehicle with a cabin													
sacki	is a match, device to make fire						match (lighter)														
saclu	is the decimal equivalent 	of fraction		in base																	
sadjo	is Saudi Arabian 	in					something Saudi Arabian														
sakci	sucks, inhales			into				sucked, inhaled													
sakli	slides or glides 	on																			
sakta	is sugar						sugar														
salci	celebrates			by doing				event celebrated													
salpo	is sloped 	with angle		to horizon			sloped														
salta	is a salad 	with ingredients					salad	ingredient of a salad													
samcu	is a cassava or yam 	of species					cassava, yam														
sampu	is simple 	in					simple														
sance	is sound 	produced by					sound	producer of a sound													
sanga	sings			to			singer	song, sung													
sanji	is aware or conscious 	of					aware, conscious														
sanli	stands 	on		using																	
sanmi	is a meal 	including					meal	dish of a meal													
sanso	is a sauce or gravy 	for use with		containing			sauce, gravy														
santa	is an umbrella	shielding		from			umbrella														
sarcu	is necessary 	for	to take place				necessary condition														
sarji	supports or holds up			against			supporter	supported													
sarlu	is a spiral or helix						helix, spiral														
sarni	is a triangle/tetrahedron 	defined by corners/vertices		with sides/dimensions			triangle, tetrahedron														
sarxe	is harmonious or in agreement 	with		in			harmonious														
saske	is a lore, mass of facts 	about		based on methodology			science, lore	subject of a science	methodology of a science												
satci	is exact 	in					exact														
satre	strokes			with				stroked													
savru	is a noise 	to		perceived via			noise														
sazri	operates machine			with goal			driver, operator	driven, operated													
sefta	is a surface 	of object					surface														
seksi	exhibits biological or social sexuality	in		the sexuality being			sexy	sexual activity	social gender, biological gender												
selbrivla	is a morphologically defined predicate word, verb word						verb word														
selci	is a cell, atom, basic subunit 	of body					indivisible, cell, atom, basic subunit														
selfu	serves			with service			servant		a service												
semto	is Semitic 	in					something Semitic														
senci	sneezes																				
senpi	doubts 	that	is true				irresolute														
senta	is a layer 	of material		within structure			layer														
senva	dreams 	about					dreamer	dream													
sepli	is separate 	from		, separated by			separate														
sesre	is Soviet	in					Soviet														
setca	inserts or puts			into				inserted													
sevzi	is a self	of																			
sfani	is a fly 	of species					fly (insect)														
sfasa	punishes			for	with punishment			punished	reason for punishment	punishment											
sfofa	is a sofa						sofa														
sfubu	dives or swoops 	to		from			diver														
siclu	whistles 	sound						whistled													
sicni	is a coin						coin														
sidbo	is an idea 	about		by thinker			idea														
sidju	helps			do			helper														
sigja	is a cigar or cigarette						cigar, cigarette														
silka	is silk 	produced by					silk														
silna	is salt, NaCl						salt														
simlu	seems 	to have		to observer																	
simsa	is similar 	to		in			similar														
simxu	mutually do							done mutually													
since	is a snake 	of species					snake														
sinma	respects or venerates							respected, venerated													
sinso	is the trigonometric sine 	of angle					sine														
sinxa	is a sign 	meaning		to observer			sign	meaning of a sign													
sipna	is asleep						asleep														
sirji	is straight or direct 	between					straight														
sirxo	is Syrian 	in					something Syrian														
sisku	searches 	for		among																	
sisti	ceases or stops							ceased, stopped													
sitna	quotes or cites source			for statement				quoted source													
sivni	is private or personal 	to					private														
skaci	is a skirt						skirt														
skalera	are stairs 	with steps					stairway, stairs	step of stairs													
skami	is a computer						computer														
skapi	is a skin, leather 	from					skin, leather														
skari	is of colour			as perceived by observer			coloured, colored	colour, color													
ski'entia	is science 	about subject matter		based on the Scientific Method																	
skicu	describes			to	with description		describer	described, told about		description											
skiji	is a skate or ski 	for surface					skate, ski		sled												
skori	is rope or cable 	of filaments or material					rope, cable	filament of a rope, filament of a cable													
skoto	is Scottish 	in					something Scottish														
skuro	is a groove or trench 	in					groove, trench	grooved surface													
slabu	is familiar 	to observer		in																	
slaka	is a syllable 	in language					syllable														
slami	is a quantity of acid						acid														
slanu	is a cylinder						cylinder														
slari	is sour 	to					sour														
slasi	is some plastic						plastic														
sligu	is solid						solid														
slilu	oscillates 	with period		through states			oscillating	period of oscillation													
sliri	is sulfur						sulphur														
slovo	is Slavic 	in					something Slavic														
sluji	is a muscle 	controlling body part					muscle														
sluni	is an onion 	of species					onion														
smacu	is a mouse 	of species					mouse														
smadi	guesses, conjectures		is true 	about				guess (hypothesis)													
smaji	is quiet 	at observation point					silent														
smaka	feels the taste																				
smani	is a monkey or ape 	of species					monkey														
smela	is a plum/peach/cherry/apricot/almond/sloe fruit 	of species/variety					plum														
smoka	is a sock						sock														
smuci	is a spoon or scoop						spoon, scoop														
smuni	is a meaning 	of		accepted by observer			meaning	meaningful													
snada	succeeds 	at		because of effort					successful effort												
snanu	is to the south 	of					southern														
snidu	is		seconds long																		
snime	is snow						snow														
snipa	sticks or adheres 	to					sticky														
snuji	is a sandwich 	of		sandwiched between			sandwich														
snura	is safe 	from threat					safe from a threat														
snuti	is an accident 	on the part of					accident														
sobde	is soya 	of species					soya														
sodna	is an alkali metal						alkali metal														
sodva	is soda, carbonated beverage 	of brand					soda														
softo	is Soviet 	in					something Soviet														
solji	is a quantity of gold						gold														
solri	is the sun 	of home planet					sun														
sombo	sows			in				sown													
sonci	is a soldier 	of army					soldier	army of soldiers													
sorcu	is a store or deposit 	of					store, deposit, stockpile														
sorgu	is sorghum 	of species					sorghum														
sorta	sorta does						sort of														
sovda	is an egg 	from organism					egg														
spaji	surprises						surprising event	surprised													
spali	polishes			with polish					polish												
spano	is Spanish 	in					Spanish														
spati	is a plant 	of species					plant (organism)														
speni	is married 	to		under custom			spouse, wife, husband														
spero	pertains to Esperanto 	in					Esperantic														
spisa	is a portion or piece 	of					portion, piece	portioned													
spita	is a hospital 	treating patient		for condition			hospital	patient of a hospital													
spofu	is broken 	in function					broken	broken function													
spoja	explodes or bursts 	into pieces					exploding														
spuda	responds or answers 	to stimulus		with response			responder	stimulus for a response	response												
sputu	spits 	liquid		from	onto			liquid spit													
sraji	is vertical 	in reference frame					vertical														
sraku	scratches							scratched													
sralo	is Australian 	in					Australian														
srana	is relevant 	to					relevant														
srasu	is grass 	of species					grass														
srera	errs 	in doing						error, mistake													
srito	is Sanskrit 	in					something Sanskrit														
sruma	assumes 	that	is true 	about				assumed													
sruri	encloses or surrounds			in direction			enclosing	eclosed													
stace	is honest 	with		about			honest														
stagi	is the vegetable, edible portion 	of plant					vegetable														
staku	is a ceramic						ceramic														
stali	stays or remains 	at					staying, remaining														
stani	is a stem or trunk 	of plant					stem, trunk	plant with a stem (organism)													
stapa	steps 	on surface		using limbs																	
stasu	is soup 	with ingredients					soup	ingredient of a soup													
stati	has talent 	for doing					smart, talented	talent													
steba	feels frustration 	about					frustrated	frustrating situation													
steci	is specific 	only to		among			specific feature	having a specific feature													
stedu	is a head 	of					head														
stela	is a lock 	for sealing		, with mechanism			lock	sealed with a lock	locking mechanism												
stero	is		steradians																		
stici	is to the west 	of		in frame of reference			western														
stidi	suggests			to			advisor	piece of advice, suggestion, proposal													
stika	changes			in degree				adjusted													
stizu	is a bench or chair						chair														
stodi	is static, constant, unchanging 	in					constant														
stomaxu	is a/the stomach/digestive organ 	of					stomach														
stuna	is to the east 	of		in frame of reference			eastern														
stura	is a structure or arrangement 	of					structure	structured													
stuzi	is an inherent site 	of					site														
sucta	is abstracted 	from		by rules			abstraction	something abstracted	a rule of abstraction												
sudga	is dry 	of liquid					dry														
sufti	is a hoof 	of					hoof														
suksa	is sudden 	at					sudden														
sumji	is the sum 	of		plus	plus	...	sum, total (sum)	summand													
sumne	smells 	the scent						scent													
sumti	is an argument/noun 	of predicate		filling place			noun, name, pronoun, verb argument	main verb, predicate	place of a verb argument												
sunga	is garlic 	of species					garlic														
sunla	is wool 	from					wool														
surla	relaxes 	by doing																			
sutra	is fast or quick 	at doing					fast, quick	done fast													
tabno	is carbon						carbon														
tabra	is a musical horn, trumpet						trumpet, horn (musical instrument)														
tadji	is a method 	for doing					method	done methodically													
tadni	is a student 	of					student	studied													
tagji	is tight, snug 	on		in			tight, snug														
taksi	is a taxi						taxi														
talsa	challenges			at																	
tamca	is a tomato 	of species					tomato														
tamji	is a thumb or big toe 	on limb					thumb														
tamne	is a cousin 	to		by bond			cousin														
tanbo	is a board or plank						board, plank														
tance	is a tongue 	of					tongue														
tanjo	it a tangent 	of angle					tangent														
tanko	is tobacco 	of species					tobacco														
tanru	is a compound of two verbs	formed with component		that modifies			compound verb														
tansi	is a pan, shallow basin, sink 	for contents					shallow basin, pan, sink	contents of a pan													
tanxe	is a box or crate 	for contents					box	contents of a box													
tapla	is a tile						tile														
tarbi	is an embryo 	with mother		and father			embryo	a mother of an embryo	a father of an embryo												
tarci	is a star						star														
tarla	is a quantity of tar						tar														
